Numero de documentos del corpus: 3888
Numero de palabras del corpus: 342305
Palabra:accuracy	Frec:56	LogProb:0.00014338288008411795
Palabra:accurate	Frec:73	LogProb:0.00018614619519692507
Palabra:accurately	Frec:28	LogProb:0.00007294918460420036
Palabra:accusation	Frec:0	LogProb:0.000002515489124282771
Palabra:accusations	Frec:0	LogProb:0.000002515489124282771
Palabra:accused	Frec:0	LogProb:0.000002515489124282771
Palabra:accustic	Frec:1	LogProb:0.000005030978248565542
Palabra:accustomed	Frec:0	LogProb:0.000002515489124282771
Palabra:acd	Frec:1	LogProb:0.000005030978248565542
Palabra:acds	Frec:0	LogProb:0.000002515489124282771
Palabra:ace	Frec:0	LogProb:0.000002515489124282771
Palabra:acemoglu	Frec:0	LogProb:0.000002515489124282771
Palabra:acer	Frec:79	LogProb:0.0002012391299426217
Palabra:acessories	Frec:0	LogProb:0.000002515489124282771
Palabra:acessory	Frec:1	LogProb:0.000005030978248565542
Palabra:acetate	Frec:2	LogProb:0.000007546467372848313
Palabra:acetic	Frec:0	LogProb:0.000002515489124282771
Palabra:acetyl	Frec:0	LogProb:0.000002515489124282771
Palabra:acetylene	Frec:0	LogProb:0.000002515489124282771
Palabra:acgc	Frec:0	LogProb:0.000002515489124282771
Palabra:ach	Frec:2	LogProb:0.000007546467372848313
Palabra:achal	Frec:0	LogProb:0.000002515489124282771
Palabra:acharge	Frec:1	LogProb:0.000005030978248565542
Palabra:acharging	Frec:1	LogProb:0.000005030978248565542
Palabra:acharya	Frec:0	LogProb:0.000002515489124282771
Palabra:acharyas	Frec:0	LogProb:0.000002515489124282771
Palabra:achchagam	Frec:0	LogProb:0.000002515489124282771
Palabra:ache	Frec:0	LogProb:0.000002515489124282771
Palabra:ached	Frec:0	LogProb:0.000002515489124282771
Palabra:acheive	Frec:1	LogProb:0.000005030978248565542
Palabra:aches	Frec:1	LogProb:0.000005030978248565542
Palabra:achievable	Frec:1	LogProb:0.000005030978248565542
Palabra:achieve	Frec:55	LogProb:0.00014086739095983518
Palabra:achieved	Frec:6	LogProb:0.000017608423869979397
Palabra:achievement	Frec:0	LogProb:0.000002515489124282771
Palabra:achievements	Frec:0	LogProb:0.000002515489124282771
Palabra:achiever	Frec:1	LogProb:0.000005030978248565542
Palabra:achievers	Frec:0	LogProb:0.000002515489124282771
Palabra:achieves	Frec:2	LogProb:0.000007546467372848313
Palabra:achieving	Frec:1	LogProb:0.000005030978248565542
Palabra:achilles	Frec:0	LogProb:0.000002515489124282771
Palabra:aching	Frec:1	LogProb:0.000005030978248565542
Palabra:achingly	Frec:0	LogProb:0.000002515489124282771
Palabra:achive	Frec:0	LogProb:0.000002515489124282771
Palabra:achived	Frec:1	LogProb:0.000005030978248565542
Palabra:achromatic	Frec:1	LogProb:0.000005030978248565542
Palabra:achy	Frec:0	LogProb:0.000002515489124282771
Palabra:aci	Frec:0	LogProb:0.000002515489124282771
Palabra:acid	Frec:12	LogProb:0.000032701358615676025
Palabra:acide	Frec:0	LogProb:0.000002515489124282771
Palabra:acidic	Frec:0	LogProb:0.000002515489124282771
Palabra:acidity	Frec:0	LogProb:0.000002515489124282771
Palabra:acids	Frec:12	LogProb:0.000032701358615676025
Palabra:aciman	Frec:0	LogProb:0.000002515489124282771
Palabra:acin	Frec:1	LogProb:0.000005030978248565542
Palabra:acing	Frec:0	LogProb:0.000002515489124282771
Palabra:aciproof	Frec:0	LogProb:0.000002515489124282771
Palabra:acirc	Frec:0	LogProb:0.000002515489124282771
Palabra:acj	Frec:2	LogProb:0.000007546467372848313
Palabra:ackerman	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledge	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledged	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledgementsglossarysourcesalso	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledgementspecial	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledges	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledging	Frec:0	LogProb:0.000002515489124282771
Palabra:acknowledgment	Frec:0	LogProb:0.000002515489124282771
Palabra:aclu	Frec:0	LogProb:0.000002515489124282771
Palabra:acm	Frec:13	LogProb:0.000035216847739958794
Palabra:acn	Frec:1	LogProb:0.000005030978248565542
Palabra:acne	Frec:0	LogProb:0.000002515489124282771
Palabra:aco	Frec:0	LogProb:0.000002515489124282771
Palabra:acompliant	Frec:1	LogProb:0.000005030978248565542
Palabra:acorus	Frec:0	LogProb:0.000002515489124282771
Palabra:acotton	Frec:0	LogProb:0.000002515489124282771
Palabra:acoustic	Frec:20	LogProb:0.0000528252716099382
Palabra:acoustical	Frec:2	LogProb:0.000007546467372848313
Palabra:acoustically	Frec:1	LogProb:0.000005030978248565542
Palabra:acoustics	Frec:16	LogProb:0.00004276331511280711
Palabra:acoustik	Frec:3	LogProb:0.000010061956497131085
Palabra:acpi	Frec:2	LogProb:0.000007546467372848313
Palabra:acquaint	Frec:0	LogProb:0.000002515489124282771
Palabra:acquaintance	Frec:0	LogProb:0.000002515489124282771
Palabra:acquaintances	Frec:0	LogProb:0.000002515489124282771
