Numero de documentos del corpus: 7561
Numero de palabras del corpus: 542829
Palabra:ache	Frec:0	LogProb:0.0000016720702403266556
Palabra:ached	Frec:0	LogProb:0.0000016720702403266556
Palabra:acheive	Frec:2	LogProb:0.000005016210720979967
Palabra:aches	Frec:4	LogProb:0.000008360351201633279
Palabra:achievable	Frec:0	LogProb:0.0000016720702403266556
Palabra:achieve	Frec:34	LogProb:0.000058522458411432945
Palabra:achieved	Frec:8	LogProb:0.0000150486321629399
Palabra:achievement	Frec:5	LogProb:0.000010032421441959933
Palabra:achievements	Frec:0	LogProb:0.0000016720702403266556
Palabra:achiever	Frec:0	LogProb:0.0000016720702403266556
Palabra:achievers	Frec:0	LogProb:0.0000016720702403266556
Palabra:achieves	Frec:2	LogProb:0.000005016210720979967
Palabra:achieving	Frec:4	LogProb:0.000008360351201633279
Palabra:achilles	Frec:0	LogProb:0.0000016720702403266556
Palabra:aching	Frec:7	LogProb:0.000013376561922613245
Palabra:achingly	Frec:0	LogProb:0.0000016720702403266556
Palabra:achive	Frec:1	LogProb:0.000003344140480653311
Palabra:achived	Frec:0	LogProb:0.0000016720702403266556
Palabra:achromatic	Frec:0	LogProb:0.0000016720702403266556
Palabra:achy	Frec:0	LogProb:0.0000016720702403266556
Palabra:aci	Frec:0	LogProb:0.0000016720702403266556
Palabra:acid	Frec:27	LogProb:0.000046817966729146356
Palabra:acide	Frec:1	LogProb:0.000003344140480653311
Palabra:acidic	Frec:5	LogProb:0.000010032421441959933
Palabra:acidity	Frec:0	LogProb:0.0000016720702403266556
Palabra:acids	Frec:6	LogProb:0.000011704491682286589
Palabra:aciman	Frec:0	LogProb:0.0000016720702403266556
Palabra:acin	Frec:0	LogProb:0.0000016720702403266556
Palabra:acing	Frec:0	LogProb:0.0000016720702403266556
Palabra:aciproof	Frec:1	LogProb:0.000003344140480653311
Palabra:acirc	Frec:0	LogProb:0.0000016720702403266556
Palabra:acj	Frec:0	LogProb:0.0000016720702403266556
Palabra:ackerman	Frec:0	LogProb:0.0000016720702403266556
Palabra:acknowledge	Frec:3	LogProb:0.000006688280961306622
Palabra:acknowledged	Frec:12	LogProb:0.000021736913124246524
Palabra:acknowledgementsglossarysourcesalso	Frec:0	LogProb:0.0000016720702403266556
Palabra:acknowledgementspecial	Frec:0	LogProb:0.0000016720702403266556
Palabra:acknowledges	Frec:0	LogProb:0.0000016720702403266556
Palabra:acknowledging	Frec:0	LogProb:0.0000016720702403266556
Palabra:acknowledgment	Frec:0	LogProb:0.0000016720702403266556
Palabra:aclu	Frec:0	LogProb:0.0000016720702403266556
Palabra:acm	Frec:1	LogProb:0.000003344140480653311
Palabra:acn	Frec:0	LogProb:0.0000016720702403266556
Palabra:acne	Frec:1	LogProb:0.000003344140480653311
Palabra:aco	Frec:3	LogProb:0.000006688280961306622
Palabra:acompliant	Frec:0	LogProb:0.0000016720702403266556
Palabra:acorus	Frec:1	LogProb:0.000003344140480653311
Palabra:acotton	Frec:0	LogProb:0.0000016720702403266556
Palabra:acoustic	Frec:7	LogProb:0.000013376561922613245
Palabra:acoustical	Frec:0	LogProb:0.0000016720702403266556
Palabra:acoustically	Frec:0	LogProb:0.0000016720702403266556
Palabra:acoustics	Frec:1	LogProb:0.000003344140480653311
Palabra:acoustik	Frec:0	LogProb:0.0000016720702403266556
Palabra:acpi	Frec:0	LogProb:0.0000016720702403266556
Palabra:acquaint	Frec:0	LogProb:0.0000016720702403266556
Palabra:acquaintance	Frec:0	LogProb:0.0000016720702403266556
